"lemma","count","strong","lexicon"
"Τιμόθεος",24,"G50950","{'brief': 'Timothy', 'long': 'Timothy, a Christian of Lystra, helper of Paul.'}"
"Τρῳάς",6,"G51740","{'brief': 'Troas', 'long': 'Troas, a harbor city of Mysia.'}"
"Τυχικός",5,"G51900","{'brief': 'Tychicus', 'long': 'Tychicus, a Christian of the Roman province Asia.'}"
"Τύριος",1,"G51830","{'brief': 'an inhabitant of Tyre', 'long': 'a Tyrian, an inhabitant of Tyre.'}"
"Τύρος",11,"G51840","{'brief': 'Tyre', 'long': 'Tyre, an ancient city, the capital of Phoenicia.'}"
"Φίλιπποι",4,"G53750","{'brief': 'Philippi', 'long': 'Philippi, a great city of the Roman province Macedonia.'}"
"Φίλιππος",15,"G53760","{'brief': 'Philip', 'long': 'Philip, (a) one of the twelve apostles of Jesus, (b) tetrarch of the Ituraean and Trachonitic region, half-brother of Herod Antipas, tetrarch of Galilee, (c) one of the seven original deacons at Jerusalem and a missionary.'}"
"Φαραώ",5,"G53280","{'brief': 'Pharaoh', 'long': 'Pharaoh, the title of ancient Egyptian kings.'}"
"Φιλιππήσιος",1,"G53740","{'brief': 'a Philippian', 'long': 'a Philippian, an inhabitant of Philippi.'}"
"Φοινίκη",3,"G54030","{'brief': 'Phoenicia', 'long': 'Phoenicia, a northern coast strip of the Roman province Syria.'}"
"Χαλδαῖος",1,"G54660","{'brief': 'a Chaldean', 'long': 'a Chaldean.'}"
"Χανάαν",2,"G54770","{'brief': 'Canaan', 'long': 'Canaan, the whole of Palestine or Palestine west of the river Jordan.'}"
"Χαναναῖος",1,"G54780","{'brief': 'Canaanite', 'long': 'Canaanite, a Biblical and archaic name for Phoenician.'}"
"Χαρράν",2,"G54880","{'brief': 'Haran', 'long': 'Haran.'}"
"θάλασσα",11,"G22810","{'brief': 'the sea, lake', 'long': '(a) the sea, in contrast to the land, (b) a particular sea or lake, e.g. the sea of Galilee (Tiberias), the Red Sea.'}"
"λίμνη",4,"G30410","{'brief': 'a lake', 'long': 'a lake.'}"
"πέτρος",135,"G40740","{'brief': 'Peter', 'long': 'Peter, a Greek name meaning ""rock"".'}"
"σεβαστός",2,"G45750","{'brief': 'august, venerated', 'long': '(official Greek equivalent of Augustus), venerated, august, a title of the Roman emperors; hence secondarily: Augustan, imperial.'}"
"Ἀαρών",5,"G00020","{'brief': 'Aaron', 'long': 'Aaron, son of Amram and Jochebed, brother of Moses.'}"
"Ἀβιά",3,"G00070","{'brief': 'Abijah', 'long': 'Abijah, (a) a king, son of Rehoboam, (b) founder of the eighth class of priests.'}"
"Ἀβιαθάρ",1,"G00080","{'brief': 'Abiathar', 'long': ""Abiathar, a priest in King David's time.""}"
"Ἀβραάμ",73,"G00110","{'brief': 'Abraham', 'long': 'Abraham, progenitor of the Hebrew race.'}"
"Ἀδάμ",9,"G00760","{'brief': 'Adam', 'long': 'Adam, the first man, the first parent of the human race.'}"
"Ἀκύλας",6,"G02070","{'brief': 'Aquila', 'long': 'the Greek way of writing the Latin Aquila, a male proper name; the husband of Priscilla (Prisca), and a Jew, of a family belonging to (Sinope in ?) Pontus.'}"
"Ἀνδρέας",13,"G04060","{'brief': 'Andrew', 'long': 'Andrew, brother of Simon Peter, and one of the apostles of Jesus, belonging to Bethsaida.'}"
"Ἀντιοχεύς",1,"G04910","{'brief': 'an Antiochian', 'long': 'an Antiochian, an inhabitant of Antioch.'}"
"Ἀντιόχεια",17,"G04900","{'brief': 'Antioch', 'long': 'Antioch, (a) Antioch on the river Orontes, capital of the Province Syria, (b) ""Pisidian"" Antioch, not in Pisidia, but near Pisidia, in the Roman Province Galatia.'}"
"Ἀπολλῶς",10,"G06250","{'brief': 'Apollos', 'long': 'Apollos, a Jew of Alexandria.'}"
"Ἀραβία",2,"G06880","{'brief': 'Arabia', 'long': 'Arabia, the district south of Palestine.'}"
"Ἀσάφ",2,"G07600","{'brief': 'Asa', 'long': 'Asa, son of Abijah and father of Jehoshaphat, king of Judah about 900 B.C. for 41 years.'}"
"Ἀσήρ",2,"G07680","{'brief': 'Asher', 'long': 'Asher, one of the sons of Jacob, and founder of one of the Twelve Tribes.'}"
"Ἀσία",18,"G07730","{'brief': 'roughly the western third of Asia Minor', 'long': 'the Roman province of Asia, roughly the western third of Asia Minor.'}"
"Ἀχάζ",2,"G08810","{'brief': 'Ahaz', 'long': 'Ahaz, son of Jotham and father of Hezekiah.'}"
"Ἁγάρ",2,"G00280","{'brief': 'Hagar', 'long': 'Hagar, the servant of Sarah, concubine of Abraham.'}"
"Ἂβελ",4,"G00060","{'brief': 'Abel', 'long': 'Abel, second son of Adam and Eve, brother of Cain.'}"
"Ἄραψ",1,"G06900","{'brief': 'an Arabian', 'long': 'an Arabian.'}"
"Ἅννα",1,"G04510","{'brief': 'Anna', 'long': 'Anna, a prophetess, who visited the infant Jesus.'}"
"Ἅννας",3,"G04520","{'brief': 'Annas', 'long': 'Annas, high priest at Jerusalem.'}"
"Ἐλαμείτης",1,"G16390","{'brief': 'an Elamite', 'long': 'an Elamite, one of a people living to the north of the Persian Gulf in the southern part of Persia.'}"
"Ἐλεάζαρ",2,"G16480","{'brief': 'Eleazar', 'long': 'Eleazar, son of Eliud, and father of Matthan.'}"
"Ἐλεισάβετ",9,"G16650","{'brief': 'Elisabeth', 'long': 'Elizabeth, mother of John the Baptizer.'}"
"Ἐλιακείμ",3,"G16620","{'brief': 'Eliakim', 'long': 'Eliakim, son of Abiud and father of Azor; son of Melea and father of Jonam.'}"
"Ἐλισαῖος",1,"G16660","{'brief': 'Elisha', 'long': 'Elisha.'}"
"Ἐφέσιος",5,"G21800","{'brief': 'Ephesian', 'long': 'Ephesian, of Ephesus.'}"
"Ἐφραίμ",1,"G21870","{'brief': 'Ephraim', 'long': 'Ephraim, a city.'}"
"Ἑζεκίας",2,"G14780","{'brief': 'Hezekiah', 'long': 'Hezekiah, son of Ahaz, father of Manasseh, and king of Judah (727-686 [?] B.C.).'}"
"Ἑλλάς",1,"G16710","{'brief': 'Hellas, Greece', 'long': 'Hellas, the native name for Greece.'}"
"Ἑλληνίς",1,"G16740","{'brief': 'a female Greek', 'long': 'a female Greek.'}"
"Ἑλληνικός",1,"G16730","{'brief': 'Greek, the Greek language', 'long': 'Greek, the Greek language.'}"
"Ἑλληνιστής",3,"G16750","{'brief': 'a Hellenist, Grecian Jew', 'long': 'a Hellenist, Grecian Jew, a Greek-speaking Jew, that is one who can speak Greek only and not Hebrew (or Aramaic).'}"
"Ἑλληνιστί",2,"G16760","{'brief': 'in the Greek language', 'long': 'in the Greek language.'}"
"Ἑνώχ",3,"G18020","{'brief': 'Enoch', 'long': 'Enoch, son of Jared and father of Methuselah.'}"
"Ἔφεσος",16,"G21810","{'brief': 'Ephesus', 'long': 'Ephesus, a coast city, capital of the Roman province Asia.'}"
"Ἕλλην",25,"G16720","{'brief': 'a Hellene, a Greek', 'long': 'a Hellene, the native word for a Greek; it is, however, a term wide enough to include all Greek-speaking (i.e. educated) non-Jews.'}"
"Ἠλείας",29,"G22430","{'brief': 'Elijah', 'long': 'Elijah, the prophet.'}"
"Ἠσαΐας",22,"G22680","{'brief': 'Isaiah', 'long': 'Isaiah, the prophet.'}"
"Ἠσαῦ",3,"G22690","{'brief': 'Esau', 'long': 'Esau, elder son of Isaac the patriarch, brother of Jacob.'}"
"Ἡρῳδιάς",6,"G22660","{'brief': 'Herodias', 'long': 'Herodias (died after A.D. 40), daughter of Aristobulus and granddaughter of Herod I, wife, first, of her uncle Herod, second, of his half-brother, her uncle Herod Antipas.'}"
"Ἡρῴδης",31,"G22640","{'brief': 'Herod', 'long': 'Herod; four persons are called by this name: Herod the Great, Herod Antipas, Herod Agrippa, and Herod Agrippa the younger.'}"
"Ἰάκωβος",10,"G23850","{'brief': 'James', 'long': 'James, (a) the Small, son of Alphaeus, and one of the Twelve, (b) half-brother of Jesus, (c) father (?) of Jude, (d) son of Zebedee, and brother of John, one of the Twelve, killed A.D. 44.'}"
"Ἰακώβ",27,"G23840","{'brief': 'Jacob', 'long': '(Hebrew), Jacob, (a) the patriarch, son of Isaac, (b) father of Joseph, the husband of Mary.'}"
"Ἰδουμαία",1,"G24010","{'brief': 'Idumea, Edom', 'long': 'Idumea, Edom, a district of Arabia, immediately south of Judea.'}"
"Ἰεζάβελ",1,"G24030","{'brief': 'Jezebel', 'long': ""Jezebel, name given to a false prophetess of Thyatira, possibly borrowed from the name of Ahab's wife, queen of Israel.""}"
"Ἰερειχώ",7,"G24100","{'brief': 'Jericho', 'long': 'Jericho, a city a little north of the Dead Sea.'}"
"Ἰερεμίας",3,"G24080","{'brief': 'Jeremiah', 'long': 'Jeremiah, Hebrew prophet.'}"
"Ἰερουσαλήμ",76,"G24140","{'brief': 'Jerusalem', 'long': 'the Greek form of the Hebrew name: Jerusalem.'}"
"Ἰεσσαί",5,"G24210","{'brief': 'Jesse', 'long': '(Hebrew), Jesse, son of Obed, and father of King David.'}"
"Ἰεφθάε",1,"G24220","{'brief': 'Jephthah', 'long': '(Hebrew), Jephthah, one of the Judges of Israel.'}"
"Ἰησοῦς",2,"G24240","{'brief': 'Jesus', 'long': 'Jesus; the Greek form of Joshua; Jesus, son of Eliezer; Jesus, surnamed Justus.'}"
"Ἰκόνιον",6,"G24300","{'brief': 'Iconium', 'long': 'Iconium, a Phrygian city of the Roman province Galatia (modern Konia).'}"
"Ἰορδάνης",14,"G24460","{'brief': 'the Jordan', 'long': 'the Jordan, a great river flowing due south and bounding Galilee, Samaria, and Judea on the east.'}"
"Ἰουδαία",45,"G24490","{'brief': 'Judea', 'long': 'Judea, a Roman province, capital Jerusalem.'}"
"Ἰουδαῖος",1,"G24530","{'brief': 'Jewish', 'long': 'Jewish.'}"
"Ἰούδας",10,"G24550","{'brief': 'Judah, Judas, Jude', 'long': 'Judah, Judas, Jude.'}"
"Ἰσαάκ",20,"G24640","{'brief': 'Isaac', 'long': '(Hebrew), Isaac, the patriarch.'}"
"Ἰσκαριώτης",1,"G24690","{'brief': 'Iscariot, a man of Kerioth', 'long': 'Iscariot, surname of Judas.'}"
"Ἰσσαχάρ",1,"G24660","{'brief': 'Issachar', 'long': 'Issachar, a proper name.'}"
"Ἰωάννης",8,"G24910","{'brief': 'John', 'long': 'John: the Baptist, the apostle, a member of the Sanhedrin, or John Mark.'}"
